timestamp_ms,pressure,ax,ay,az,gx,gy,gz,label
1764138829018,424,-0.110000,-0.020000,1.042000,126,127,126,rest_head
1764138829038,429,-0.111000,-0.021000,1.044000,126,127,126,rest_head
1764138829058,425,-0.111000,-0.023000,1.044000,126,127,127,rest_head
1764138829079,421,-0.110000,-0.022000,1.043000,126,127,127,rest_head
1764138829100,415,-0.109000,-0.022000,1.044000,126,127,127,rest_head
1764138829121,408,-0.109000,-0.021000,1.044000,126,127,127,rest_head
1764138829142,405,-0.108000,-0.020000,1.042000,126,127,127,rest_head
1764138829164,401,-0.110000,-0.019000,1.042000,126,127,126,rest_head
1764138829186,395,-0.119000,-0.017000,1.043000,126,127,126,rest_head
1764138829207,409,-0.119000,-0.017000,1.043000,126,127,126,rest_head
1764138829227,447,-0.119000,-0.018000,1.043000,126,127,127,rest_head
1764138829248,476,-0.118000,-0.018000,1.043000,126,127,127,rest_head
1764138829268,489,-0.108000,-0.020000,1.042000,126,127,127,rest_head
1764138829289,499,-0.108000,-0.020000,1.042000,126,127,127,rest_head
1764138829310,503,-0.108000,-0.021000,1.042000,126,127,127,rest_head
1764138829330,505,-0.108000,-0.020000,1.041000,126,127,127,rest_head
1764138829352,502,-0.109000,-0.021000,1.042000,126,127,127,rest_head
1764138829372,499,-0.109000,-0.022000,1.042000,126,127,127,rest_head
1764138829393,496,-0.110000,-0.022000,1.042000,126,127,126,rest_head
1764138829413,495,-0.110000,-0.022000,1.043000,126,127,126,rest_head
1764138829433,481,-0.110000,-0.022000,1.044000,126,127,126,rest_head
1764138829454,471,-0.110000,-0.022000,1.044000,126,127,126,rest_head
1764138829474,459,-0.110000,-0.021000,1.042000,126,127,126,rest_head
1764138829495,454,-0.110000,-0.021000,1.043000,126,127,126,rest_head
1764138829515,445,-0.107000,-0.019000,1.043000,126,127,126,rest_head
1764138829536,441,-0.108000,-0.019000,1.042000,126,127,126,rest_head
1764138829557,442,-0.108000,-0.021000,1.042000,126,127,126,rest_head
1764138829577,445,-0.109000,-0.021000,1.042000,126,127,126,rest_head
1764138829598,449,-0.109000,-0.022000,1.042000,126,127,126,rest_head
1764138829618,451,-0.112000,-0.024000,1.041000,126,127,127,rest_head
1764138829639,454,-0.110000,-0.022000,1.041000,126,127,127,rest_head
1764138829659,459,-0.109000,-0.022000,1.042000,126,127,127,rest_head
1764138829680,462,-0.108000,-0.021000,1.042000,126,127,127,rest_head
1764138829700,470,-0.108000,-0.021000,1.041000,126,127,127,rest_head
1764138841774,442,0.030000,0.968000,-0.105000,126,127,127,hug
1764138841795,445,0.031000,0.970000,-0.104000,126,127,127,hug
1764138841815,446,0.030000,0.973000,-0.104000,127,127,127,hug
1764138841835,446,0.035000,0.971000,-0.106000,127,127,127,hug
1764138841855,442,0.039000,0.977000,-0.113000,127,127,127,hug
1764138841875,434,0.038000,0.976000,-0.117000,127,127,127,hug
1764138841897,424,0.038000,0.976000,-0.121000,127,127,127,hug
1764138841922,417,0.037000,0.975000,-0.122000,127,127,127,hug
1764138841942,411,0.034000,0.976000,-0.125000,127,127,127,hug
1764138841963,404,0.024000,0.975000,-0.128000,127,127,127,hug
1764138841983,401,0.039000,0.973000,-0.126000,127,127,127,hug
1764138842004,400,0.057000,0.971000,-0.126000,127,127,127,hug
1764138842024,405,0.066000,0.982000,-0.121000,127,127,127,hug
1764138842045,413,0.083000,0.984000,-0.134000,127,127,127,hug
1764138842065,420,0.068000,0.984000,-0.136000,127,127,127,hug
1764138842086,428,0.051000,0.985000,-0.141000,127,127,127,hug
1764138842107,439,0.043000,0.974000,-0.150000,127,127,127,hug
1764138842127,445,0.036000,0.973000,-0.147000,127,127,127,hug
1764138842149,454,0.036000,0.972000,-0.144000,126,127,127,hug
1764138842169,457,0.037000,0.973000,-0.145000,126,127,127,hug
1764138842190,456,0.038000,0.973000,-0.144000,126,127,126,hug
1764138842210,454,0.037000,0.973000,-0.144000,126,127,126,hug
1764138842230,454,0.038000,0.972000,-0.142000,126,127,126,hug
1764138842251,455,0.037000,0.973000,-0.140000,126,127,126,hug
1764138842271,456,0.037000,0.972000,-0.140000,126,127,126,hug
1764138842292,457,0.038000,0.972000,-0.139000,126,127,126,hug
1764138842313,459,0.037000,0.973000,-0.135000,126,127,126,hug
1764138842334,463,0.038000,0.972000,-0.135000,126,127,126,hug
